label,address,note
Bitget,sys1qwhd5dz4mxkfwylg9jz4x56ggnc4z2d22u4l78w,main hot/cold wallet
Gate,ScM7oHdCXXZistSxPr7YjxyZ8tUf3HG8c2,main hot wallet
MEXC,sys1qeyt05mxwlud4q66u8u2jtyq4markks4ru5ldk8,main candidate
MEXC,sys1q3ec7z8up0phw83t0rund94h0d577lfls9eel38,large downstream wallet
Ex(Unknown),sys1qna83egqpe3yj3nnl8puqwv8tqwguy96zhg9tvh,repeated downstream cluster
Ex(Unknown),sys1qexf95pzlun27jr0vuyt55emtxvrlxa44ddk859,repeated downstream cluster
Ex(Unknown),sys1qkah23xlfjs0hx66u48q639e72k3fyhwecsn4py,repeated downstream cluster
Ex(Unknown),sys1qe5vdffvlpyvkj3z3fqw8kc639s2dykp7smun9w,repeated downstream cluster
Ex(Unknown),sys1qcfz9dne8ffk5at79p3et76fzgvwxlxymsc6lje,repeated downstream cluster
